-230.000000 779.000000 395.000000, -97.000000 -642.000000 -142.000000, -88.000000 86.000000 -443.000000, -409.000000 -459.000000 -104.000000, 484.000000 -133.000000 -9.000000, 506.000000 289.000000 172.000000, -366.000000 777.000000 -542.000000, 483.000000 187.000000 238.000000, -122.000000 39.000000 -496.000000, -275.000000 744.000000 395.000000, 
-71.976158 682.615356 464.804260, -74.186798 -706.105530 -186.072006, -166.573013 95.762634 -220.708160, -350.767517 -473.172211 -134.270264, 517.607605 -178.387909 11.943728, 540.718140 245.768188 162.455856, -414.991211 758.596985 -534.835754, 528.713013 184.291306 195.435669, -145.930283 71.760063 -499.452820, -275.653595 400.467865 586.410461, 
-165.227966 696.402954 429.500763, -74.182419 -706.126526 -186.161118, -193.134430 86.106125 -94.046410, -350.678253 -473.349426 -134.404114, 517.605347 -178.407959 12.015691, 540.226685 248.526474 164.186035, -415.025208 758.623901 -534.834839, 530.114258 183.883011 191.717773, -130.721573 94.563835 -473.792694, -262.983612 131.931000 760.814331, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 539.460205 250.683823 166.592056, -415.025208 758.623901 -534.834839, 531.132263 183.100388 188.742798, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 538.762024 252.078262 168.711517, -415.025208 758.623901 -534.834839, 531.950989 182.552979 186.297882, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 538.209900 252.897049 170.406631, -415.025208 758.623901 -534.834839, 532.553284 182.218231 184.471939, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 537.782410 253.218964 171.602402, -415.025208 758.623901 -534.834839, 532.984558 181.923477 183.266220, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 537.389099 253.463425 172.546356, -415.025208 758.623901 -534.834839, 533.384155 181.764313 182.307129, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 537.032776 253.557327 173.122253, -415.025208 758.623901 -534.834839, 533.739563 181.641510 181.733994, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 536.735718 253.569809 173.559631, -415.025208 758.623901 -534.834839, 534.032898 181.513626 181.308136, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 536.468811 253.620193 173.842209, -415.025208 758.623901 -534.834839, 534.301636 181.477448 181.022644, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 536.253479 253.641800 174.050659, -415.025208 758.623901 -534.834839, 534.517639 181.441254 180.814560, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 536.090698 253.634323 174.227386, -415.025208 758.623901 -534.834839, 534.680176 181.390854 180.642059, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 536.012146 253.638168 174.328354, -415.025208 758.623901 -534.834839, 534.758972 181.372467 180.541641, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 535.959961 253.624451 174.408798, -415.025208 758.623901 -534.834839, 534.810852 181.342773 180.464264, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 535.929138 253.599487 174.449265, -415.025208 758.623901 -534.834839, 534.841064 181.309891 180.428253, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 535.887695 253.623734 174.471832, -415.025208 758.623901 -534.834839, 534.883484 181.328979 180.401886, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 535.841187 253.656113 174.504288, -415.025208 758.623901 -534.834839, 534.931152 181.354401 180.364441, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 535.806580 253.650192 174.515137, -415.025208 758.623901 -534.834839, 534.965881 181.345840 180.354675, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 535.776917 253.645889 174.546906, -415.025208 758.623901 -534.834839, 534.995605 181.335678 180.323837, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
-165.293701 696.386902 429.486053, -74.182419 -706.126526 -186.161118, -193.236618 86.117210 -93.964096, -350.675201 -473.349396 -134.563004, 517.605347 -178.407959 12.015691, 535.776917 253.645889 174.546906, -415.025208 758.623901 -534.834839, 534.995605 181.335678 180.323837, -130.696426 94.581360 -473.774445, -262.907104 131.705963 760.963806, 
